time,open,high,low,close,CVD (Ouverture),CVD (Haut,CVD (Bas),CVD (Fermer)
2025-08-28T18:00:00+01:00,864.72,881.36,864.13,875.8,13139.535000000003,26238.957000000002,13139.535000000003,19082.367000000002
2025-08-28T19:00:00+01:00,875.79,878.65,869.06,870.48,19082.367000000002,20330.773,16049.980000000001,16120.975000000002
2025-08-28T20:00:00+01:00,870.48,873.12,868.37,868.69,16120.975000000002,16389.775,15691.219000000003,15691.219000000003
2025-08-28T21:00:00+01:00,868.69,870.83,868,869.62,15691.219000000003,15691.219000000003,15233.450000000003,15364.397000000003
2025-08-28T22:00:00+01:00,869.61,873.83,869.3,873.54,15364.397000000003,15787.822000000002,14948.959000000003,15391.013000000003
2025-08-28T23:00:00+01:00,873.54,877.11,873.54,877.04,15391.013000000003,16298.845000000003,15391.013000000003,15931.055000000002
2025-08-29T00:00:00+01:00,877.04,877.15,873.41,873.47,15931.055000000002,16013.823000000002,13961.384000000002,13961.384000000002
2025-08-29T01:00:00+01:00,873.48,878,873.39,875.15,0,1233.4999999999998,-106.88,696.8019999999999
2025-08-29T02:00:00+01:00,875.15,876.9,872.03,873.83,696.8019999999999,2374.5509999999995,630.0539999999999,1719.6929999999995
2025-08-29T03:00:00+01:00,873.83,876.62,872.32,872.97,1719.6929999999995,3045.682999999999,1190.6549999999995,2515.3869999999993
2025-08-29T04:00:00+01:00,872.96,874.64,872.21,873.25,2515.3869999999993,3638.008999999999,2303.9809999999993,3533.678999999999
2025-08-29T05:00:00+01:00,873.25,873.77,870.02,870.08,3533.678999999999,3934.387999999999,2603.351999999999,2603.351999999999
2025-08-29T06:00:00+01:00,870.09,870.99,868.25,870.46,2603.351999999999,3551.998999999999,2603.351999999999,3425.519999999998
2025-08-29T07:00:00+01:00,870.45,871.24,864.48,865.8,3425.519999999998,3722.664999999998,-2458.0680000000025,-1812.4240000000032
2025-08-29T08:00:00+01:00,865.8,865.8,856,857.2,-1812.4240000000032,-1812.4240000000032,-7987.9540000000015,-7670.622000000001
2025-08-29T09:00:00+01:00,857.19,860.61,852.6,852.87,-7670.622000000001,-6047.042000000001,-11568.496000000001,-11568.496000000001
2025-08-29T10:00:00+01:00,852.87,856.53,850.19,856.2,-11568.496000000001,-8670.464000000002,-12740.483,-8914.258000000002
2025-08-29T11:00:00+01:00,856.2,858.7,855.4,855.63,-8914.258000000002,-8607.863000000001,-9930.212000000001,-9772.985000000002
2025-08-29T12:00:00+01:00,855.63,857.9,853.63,854.61,-9772.985000000002,-8821.873000000003,-9941.622000000003,-9747.891000000001
2025-08-29T13:00:00+01:00,854.62,865.32,854.61,864.37,-9747.891000000001,-8182.2930000000015,-11660.062000000002,-10147.950000000003
2025-08-29T14:00:00+01:00,864.37,865.01,855.04,857.23,-10147.950000000003,-8598.481000000003,-10397.879000000003,-9433.580000000002
2025-08-29T15:00:00+01:00,857.23,862.69,852.13,857.95,-9433.580000000002,-7795.671000000002,-12329.341000000002,-8853.192000000003
2025-08-29T16:00:00+01:00,857.95,861.75,857.17,858.32,-8853.192000000003,-7873.016000000003,-8928.211000000003,-8302.860000000002
2025-08-29T17:00:00+01:00,858.32,860.1,854.18,858.71,-8302.860000000002,-8302.860000000002,-10762.839000000004,-10701.783000000003
2025-08-29T18:00:00+01:00,858.7,858.9,853.9,856.3,-10701.783000000003,-10701.783000000003,-12017.612000000003,-11371.798000000003
2025-08-29T19:00:00+01:00,856.29,858.22,853.6,854.34,-11371.798000000003,-10540.504000000003,-12912.526000000002,-11580.026000000002
2025-08-29T20:00:00+01:00,854.33,861.03,852.86,858.27,-11580.026000000002,-10386.640000000001,-11732.235000000002,-10667.466000000002
2025-08-29T21:00:00+01:00,858.27,858.7,854.82,855.77,-10667.466000000002,-10644.734000000002,-11976.302000000001,-11525.167000000003
2025-08-29T22:00:00+01:00,855.77,859.6,853.28,859.03,-11525.167000000003,-11525.167000000003,-12531.185000000003,-11914.115000000003
2025-08-29T23:00:00+01:00,859.03,859.57,856.96,859.45,-11914.115000000003,-11877.978000000003,-12363.377000000004,-12172.559000000003
2025-08-30T00:00:00+01:00,859.45,864,859.03,862.3,-12172.559000000003,-10568.731000000003,-12499.542000000003,-10763.993000000002
2025-08-30T01:00:00+01:00,862.3,862.32,857.06,859.45,0,0,-1975.4400000000005,-1486.2630000000006
2025-08-30T02:00:00+01:00,859.45,860.54,852.39,852.88,-1486.2630000000006,-1193.5420000000006,-3626.8420000000006,-3626.8420000000006
2025-08-30T03:00:00+01:00,852.88,859.4,852.27,856.54,-3626.8420000000006,132.16899999999941,-3626.8420000000006,-20.147000000001754
2025-08-30T04:00:00+01:00,856.55,861.78,856.4,860.48,-20.147000000001754,1108.3079999999982,-567.6300000000018,563.5559999999983
2025-08-30T05:00:00+01:00,860.48,861.54,857.28,857.66,563.5559999999983,664.6549999999984,-1848.5640000000017,-1844.7700000000004
2025-08-30T06:00:00+01:00,857.65,860.05,857.14,858.67,-1844.7700000000004,-894.7190000000005,-1899.8120000000004,-1391.1170000000006
2025-08-30T07:00:00+01:00,858.68,862.36,858.68,860.92,-1391.1170000000006,823.4329999999991,-1481.8760000000007,595.5079999999989
2025-08-30T08:00:00+01:00,860.91,861.4,859.9,860.35,595.5079999999989,595.5079999999989,-687.9900000000011,-687.9900000000011
